freq,t,u,omega_radps
0.5,4.76837158203125e-06,-0.423369824886322,1.2706658840179443
0.5,0.008130073547363281,-0.423369824886322,1.2706658840179443
0.5,0.01627039909362793,0.5804746150970459,-0.9298985600471497
0.5,0.02437877655029297,0.5804746150970459,0.5196976661682129
0.5,0.03249025344848633,0.5804746150970459,0.5196976661682129
0.5,0.040630340576171875,-0.5927740335464478,-0.11627362668514252
0.5,0.04877519607543945,-0.5927740335464478,-0.11627362668514252
0.5,0.056906938552856445,0.742957592010498,-0.11627362668514252
0.5,0.06501173973083496,0.742957592010498,0.06350713968276978
0.5,0.07317185401916504,0.742957592010498,-0.1791103482246399
0.5,0.08135628700256348,-0.6796395778656006,-0.1791103482246399
0.5,0.08949041366577148,-0.6796395778656006,0.12670093774795532
0.5,0.09766745567321777,0.020129859447479248,0.12670093774795532
0.5,0.10583639144897461,0.020129859447479248,0.10442278534173965
0.5,0.11395573616027832,0.020129859447479248,0.10442278534173965
0.5,0.1220700740814209,0.3127593994140625,-0.3553248941898346
0.5,0.13017725944519043,0.3127593994140625,-0.3553248941898346
0.5,0.13831329345703125,-0.48273327946662903,0.5877265930175781
0.5,0.1464846134185791,-0.48273327946662903,0.5877265930175781
0.5,0.1546320915222168,0.661656379699707,-0.46498140692710876
0.5,0.16276240348815918,0.661656379699707,-0.46498140692710876
0.5,0.17086267471313477,0.661656379699707,0.7119706869125366
0.5,0.17897820472717285,-0.8305091261863708,0.7119706869125366
0.5,0.18710947036743164,-0.8305091261863708,-0.6622784733772278
0.5,0.1952190399169922,0.33743467926979065,-0.6622784733772278
0.5,0.20333266258239746,0.33743467926979065,0.7485348582267761
0.5,0.21155238151550293,0.33743467926979065,0.7485348582267761
0.5,0.21966171264648438,0.11803105473518372,-0.6325560212135315
0.5,0.22777366638183594,0.11803105473518372,-0.6325560212135315
0.5,0.23589134216308594,-0.5730921626091003,0.8732485771179199
0.5,0.24401426315307617,-0.5730921626091003,0.8732485771179199
0.5,0.25213122367858887,-0.5730921626091003,-0.8419421911239624
0.5,0.26023387908935547,0.9171571135520935,-0.8419421911239624
0.5,0.26836180686950684,0.9171571135520935,1.0531177520751953
0.5,0.2765169143676758,-0.8259665369987488,1.0531177520751953
0.5,0.2846801280975342,-0.8259665369987488,-0.6786324977874756
0.5,0.2928466796875,-0.8259665369987488,-0.6786324977874756
0.5,0.30101919174194336,0.43159791827201843,1.092978835105896
0.5,0.30918312072753906,0.43159791827201843,1.092978835105896
0.5,0.31731152534484863,0.07707901298999786,-0.3759327530860901
0.5,0.3254382610321045,0.07707901298999786,-0.3759327530860901
0.5,0.33356666564941406,0.07707901298999786,0.9904162287712097
0.5,0.34169507026672363,-0.43489548563957214,0.9904162287712097
0.5,0.3498263359069824,-0.43489548563957214,-0.4578982889652252
