t,thro,m0,m1,m2,m3,pitch_out,roll_out,prate,rrate,alt_up
7.152557373046875e-06,0.0,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.0,0.0,0.0,0.0,0.04000023752450943
0.02014327049255371,0.0,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.0,0.0,0.0,0.0,0.04000021144747734
0.040238380432128906,0.0,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.0,0.0,0.0,0.0,0.04000012204051018
0.060335397720336914,0.5590000152587891,0.5726613402366638,0.5773029923439026,0.5453386902809143,0.5406970381736755,0.003188095521181822,-0.0074513815343379974,0.0,0.14563317596912384,0.04004883021116257
0.08044195175170898,0.5609999895095825,0.5352427959442139,0.5636875629425049,0.5912833213806152,0.5537862777709961,-0.02091280370950699,0.000724853714928031,1.0540177822113037,-0.11289867758750916,0.04162003844976425
0.10055208206176758,0.5609999895095825,0.6427138447761536,1.0,0.4827461838722229,0.11853986978530884,-0.08527056872844696,-0.6420937776565552,5.576268196105957,32.66284942626953,0.05770058184862137
0.12065243721008301,0.5540000200271606,0.12358006834983826,0.5182690620422363,1.0,0.5741509199142456,-1.0,1.0,81.23110961914062,-66.68729400634766,0.07515698671340942
0.1407606601715088,0.5189999938011169,1.0,0.4743273854255676,0.0881384015083313,0.5135341882705688,1.0,-0.025549769401550293,-106.4551010131836,22.156185150146484,0.09966105967760086
0.1608905792236328,0.4959999918937683,0.11587539315223694,0.5460304021835327,1.0,0.3220941722393036,-1.0,-0.044708818197250366,80.9992904663086,-15.67677116394043,0.13094046711921692
0.18107962608337402,0.4729999899864197,1.0,0.46576809883117676,0.10608947277069092,0.32014238834381104,0.9429137706756592,-0.04771488904953003,-58.92521667480469,24.05435562133789,0.2116207778453827
0.20117735862731934,0.45100000500679016,0.13838014006614685,0.292044997215271,1.0,0.3735748827457428,-0.7135140895843506,1.0,44.28782272338867,-117.92362976074219,0.2116207778453827
0.2212827205657959,0.41200000047683716,1.0,0.2691992223262787,0.22181189060211182,0.15698891878128052,0.12408088147640228,-0.8914285898208618,-32.72184371948242,110.78997039794922,0.3131214380264282
0.24138784408569336,0.41200000047683716,0.24021750688552856,0.24021750688552856,1.0,0.1675649881362915,-0.8912587761878967,0.7373175024986267,86.26976776123047,-47.81004333496094,0.37046942114830017
0.2614917755126953,0.37700000405311584,1.0,0.1660488247871399,0.17097556591033936,0.17097558081150055,0.7365429401397705,-0.2794170677661896,-66.10576629638672,48.68375015258789,0.4320068657398224
0.28160953521728516,0.3610000014305115,0.16114670038223267,0.1217065155506134,1.0,0.16114670038223267,-0.3002690076828003,0.48495617508888245,38.94417953491211,-74.99161529541016,0.5666479468345642
0.30173635482788086,0.3449999988079071,1.0,0.12666667997837067,0.12666667997837067,0.12666667997837067,0.22529351711273193,-0.2181355506181717,-48.556556701660156,47.23660659790039,0.6391376852989197
0.3218505382537842,0.33000001311302185,0.22030168771743774,0.018503248691558838,1.0,0.08119514584541321,0.058534517884254456,-0.07371694594621658,12.585697174072266,-10.883058547973633,0.7149803638458252
0.34197163581848145,0.3019999861717224,0.41726523637771606,0.053890541195869446,0.7368441820144653,0.004999999888241291,-0.3171524405479431,0.2743389308452606,24.79483413696289,-19.301727294921875,0.7940554022789001
0.362072229385376,0.2879999876022339,0.8193113207817078,0.022860705852508545,0.30982786417007446,0.004999999888241291,0.4033679664134979,-0.4438351094722748,-42.91259765625,48.37705993652344,0.960450291633606
0.38216495513916016,0.27399998903274536,0.0758725106716156,0.005255550146102905,1.0,0.014871954917907715,-0.4677608609199524,0.488762766122818,57.282108306884766,-61.76516342163086,1.0471993684768677
0.40231943130493164,0.2619999945163727,1.0,0.015999972820281982,0.015999987721443176,0.015999972820281982,0.4628571569919586,-0.4628571569919586,-66.30762481689453,72.99296569824219,1.1360028982162476
0.42246341705322266,0.23899999260902405,0.00833292305469513,0.004999999888241291,0.9393341541290283,0.00833292305469513,-0.39714285731315613,0.39714285731315613,68.46879577636719,-75.16926574707031,1.2266525030136108
0.4425535202026367,0.2280000001192093,0.8464208841323853,0.010930970311164856,0.05464810132980347,0.004999999888241291,0.3623729348182678,-0.36571425199508667,-62.76349639892578,67.16432189941406,1.4120136499404907
0.46265625953674316,0.21799999475479126,0.08341877162456512,0.004999999888241291,0.7817392349243164,0.006841942667961121,-0.28652021288871765,0.3004065155982971,49.40996170043945,-53.907108306884766,1.505948543548584
0.4827744960784912,0.20999999344348907,0.6237397193908691,0.004999999888241291,0.21251563727855682,0.004999999888241291,0.20036602020263672,-0.20754873752593994,-33.25122833251953,34.113582611083984,1.6002188920974731
0.5028917789459229,0.19599999487400055,0.2328900694847107,0.004999999888241291,0.5463085770606995,0.004999999888241291,-0.12320651859045029,0.1292313039302826,17.988554000854492,-18.99205780029297,1.69450044631958
0.5229635238647461,0.19099999964237213,0.46840226650238037,0.03304031491279602,0.2625574469566345,0.004999999888241291,0.05672029033303261,-0.09665685892105103,-9.836867332458496,9.810635566711426,1.8817572593688965
0.5430612564086914,0.18700000643730164,0.2947116196155548,0.004999999888241291,0.40874427556991577,0.04454413056373596,-0.02336466684937477,0.04842342436313629,3.5134639739990234,-4.541171550750732,1.9741984605789185
0.5631449222564697,0.18299999833106995,0.38270485401153564,0.023988306522369385,0.32530683279037476,0.004999999888241291,0.010463166050612926,-0.025662368163466454,-2.2057836055755615,2.3380143642425537,2.0656278133392334
0.5832417011260986,0.17900000512599945,0.33944272994995117,0.004999999888241291,0.36878955364227295,0.0077676922082901,-0.0066565219312906265,0.011816713027656078,1.1848948001861572,-1.4483822584152222,2.155956268310547
