t,u,omega_radps,thro,m0_omega
2.384185791015625e-06,-0.42328864336013794,-0.636234700679779,0.5,994.9507446289062
0.010459661483764648,0.7070592641830444,0.7664394378662109,0.5,1053.3948974609375
0.020633459091186523,-0.4452647268772125,0.7664394378662109,0.5,1053.3948974609375
0.030745267868041992,-0.4452647268772125,-0.6791454553604126,0.5,976.3582153320312
0.0408473014831543,-0.05057366192340851,0.7448374629020691,0.5,1075.22705078125
0.05094432830810547,-0.05057366192340851,0.7448374629020691,0.5,1075.22705078125
0.06142449378967285,-0.05057366192340851,-0.5830687284469604,0.5,967.31396484375
0.07160782814025879,0.5992952585220337,0.5635229349136353,0.5,1073.2276611328125
0.08173084259033203,0.5992952585220337,0.5635229349136353,0.5,1073.2276611328125
0.09201216697692871,-0.6542171835899353,-0.5963729023933411,0.5,1011.5811767578125
0.10212349891662598,0.15558144450187683,-0.5963729023933411,0.5,1011.5811767578125
0.1122140884399414,0.15558144450187683,0.6828024983406067,0.5,1047.3465576171875
0.12239646911621094,0.3389022946357727,-0.5683733224868774,0.5,1016.0792236328125
0.13250255584716797,0.3389022946357727,-0.5683733224868774,0.5,1016.0792236328125
0.14260387420654297,-0.7290030121803284,0.6987705230712891,0.5,1031.1087646484375
0.15270209312438965,-0.7290030121803284,-0.6732267141342163,0.5,1020.5260009765625
0.1629195213317871,0.39874789118766785,-0.6732267141342163,0.5,1020.5260009765625
0.17304587364196777,0.39874789118766785,0.6812629699707031,0.5,1017.7369995117188
0.1832435131072998,0.39874789118766785,0.6812629699707031,0.5,1017.7369995117188
0.1933884620666504,0.1986827403306961,-0.6988949179649353,0.5,1015.2506713867188
0.2035226821899414,-0.5025709867477417,0.6621817350387573,0.5,1020.7417602539062
0.213653564453125,-0.5025709867477417,0.6621817350387573,0.5,1020.7417602539062
0.22377943992614746,0.7580285668373108,-0.7717024683952332,0.5,1022.0634155273438
0.2338874340057373,0.7580285668373108,0.8093575835227966,0.5,1040.1920166015625
0.244002103805542,-0.7672281861305237,0.8093575835227966,0.5,1040.1920166015625
0.254101037979126,-0.7672281861305237,-0.795834481716156,0.5,979.467529296875
0.26419973373413086,0.05676572024822235,0.7755770683288574,0.5,1081.0875244140625
