freq,t,u,omega_radps
0.5,5.0067901611328125e-06,0.45395100116729736,0.3798255920410156
0.5,0.008135557174682617,-0.6300560832023621,0.3798255920410156
0.5,0.01626443862915039,-0.6300560832023621,-0.41142964363098145
0.5,0.02438640594482422,0.18765000998973846,-0.41142964363098145
0.5,0.03251147270202637,0.18765000998973846,0.41213399171829224
0.5,0.04062914848327637,0.3320982754230499,0.41213399171829224
0.5,0.04870247840881348,0.3320982754230499,-0.5459131002426147
0.5,0.056849002838134766,0.3320982754230499,-0.5459131002426147
0.5,0.0649881362915039,-0.6125909686088562,0.6216618418693542
0.5,0.0731208324432373,-0.6125909686088562,0.6216618418693542
0.5,0.08122968673706055,0.7154033184051514,-0.5548079609870911
0.5,0.08933877944946289,0.7154033184051514,-0.5548079609870911
0.5,0.09773969650268555,0.7154033184051514,0.64839106798172
0.5,0.10597896575927734,-0.531633734703064,0.64839106798172
0.5,0.11419558525085449,-0.531633734703064,-0.8710705041885376
0.5,0.12232756614685059,-0.531633734703064,-0.8710705041885376
0.5,0.13046503067016602,-0.0646146684885025,0.868948757648468
0.5,0.13859200477600098,-0.0646146684885025,0.868948757648468
0.5,0.14670062065124512,0.3217885196208954,-0.9182417392730713
0.5,0.15482831001281738,0.3217885196208954,-0.9182417392730713
0.5,0.1629633903503418,0.3217885196208954,0.6446712613105774
0.5,0.1710820198059082,-0.4223419427871704,0.6446712613105774
0.5,0.17922091484069824,-0.4223419427871704,-0.5512003898620605
0.5,0.18734145164489746,0.6743980646133423,-0.5512003898620605
0.5,0.1954662799835205,0.6743980646133423,0.35076308250427246
0.5,0.20356392860412598,-0.8394483327865601,0.35076308250427246
0.5,0.21170473098754883,-0.8394483327865601,-0.30599552392959595
0.5,0.21982550621032715,-0.8394483327865601,-0.30599552392959595
0.5,0.2279493808746338,0.7697683572769165,-0.22234198451042175
0.5,0.23606610298156738,0.7697683572769165,-0.22234198451042175
0.5,0.2441544532775879,-0.5153589844703674,0.22777606546878815
0.5,0.25229406356811523,-0.5153589844703674,0.22777606546878815
0.5,0.2604403495788574,-0.5153589844703674,-0.681255042552948
0.5,0.2685675621032715,-0.07819655537605286,-0.681255042552948
0.5,0.2767167091369629,-0.07819655537605286,0.5471858382225037
0.5,0.28485774993896484,-0.07819655537605286,-1.1654510498046875
0.5,0.2930116653442383,0.3115348219871521,-1.1654510498046875
0.5,0.3011436462402344,0.3115348219871521,-1.1654510498046875
0.5,0.30927252769470215,-0.4092249870300293,0.5995661616325378
0.5,0.3174145221710205,-0.4092249870300293,0.5995661616325378
0.5,0.3255479335784912,0.7266292572021484,-1.1233956813812256
0.5,0.33370161056518555,0.7266292572021484,0.26320016384124756
0.5,0.34182214736938477,0.7266292572021484,0.26320016384124756
0.5,0.34993982315063477,-0.6720167398452759,0.26320016384124756
0.5,0.35803961753845215,-0.6720167398452759,-1.0747634172439575
0.5,0.3661513328552246,0.2759597897529602,0.3417462110519409
0.5,0.3743588924407959,0.2759597897529602,0.3417462110519409
0.5,0.38254237174987793,0.2759597897529602,-1.172112226486206
0.5,0.390824556350708,0.3194147050380707,-1.172112226486206
0.5,0.3990011215209961,0.3194147050380707,0.21125604212284088
0.5,0.4071340560913086,-0.5750037431716919,0.21125604212284088
0.5,0.41527533531188965,-0.5750037431716919,-1.2138766050338745
0.5,0.4234011173248291,0.7414994239807129,-1.2138766050338745
0.5,0.431504487991333,0.7414994239807129,0.19265642762184143
0.5,0.43960070610046387,0.7414994239807129,0.19265642762184143
0.5,0.44769883155822754,-0.4128761291503906,-1.3090221881866455
0.5,0.4557986259460449,-0.4128761291503906,-1.3090221881866455
0.5,0.4638998508453369,-0.22816964983940125,0.11468415707349777
0.5,0.472003698348999,-0.22816964983940125,0.11468415707349777
0.5,0.48010993003845215,-0.22816964983940125,-1.1914536952972412
0.5,0.48821425437927246,0.49994340538978577,-1.1914536952972412
0.5,0.49631428718566895,0.49994340538978577,0.10688291490077972
0.5,0.5044221878051758,-0.749321699142456,0.10688291490077972
0.5,0.5125343799591064,-0.749321699142456,-1.2791919708251953
0.5,0.5206577777862549,-0.749321699142456,-1.2791919708251953
0.5,0.5287680625915527,0.2528587877750397,0.21499930322170258
0.5,0.5368742942810059,0.2528587877750397,0.21499930322170258
0.5,0.5450315475463867,0.2461571842432022,-1.4013209342956543
0.5,0.5531318187713623,0.2461571842432022,-1.4013209342956543
0.5,0.5612466335296631,0.2461571842432022,0.0908740982413292
0.5,0.5693421363830566,-0.6164955496788025,0.0908740982413292
0.5,0.5774598121643066,-0.6164955496788025,-1.2845710515975952
0.5,0.585599422454834,0.7721071243286133,-1.2845710515975952
0.5,0.5936956405639648,0.7721071243286133,-0.0006974861025810242
0.5,0.6018035411834717,0.7721071243286133,-0.0006974861025810242
0.5,0.6099107265472412,-0.5020411014556885,-1.2299473285675049
0.5,0.6180179119110107,-0.5020411014556885,-1.2299473285675049
0.5,0.6261370182037354,-0.19140741229057312,0.12101916968822479
0.5,0.6342453956604004,-0.19140741229057312,0.12101916968822479
0.5,0.6423554420471191,-0.19140741229057312,-1.0571742057800293
0.5,0.6504473686218262,0.4155818819999695,-1.0571742057800293
0.5,0.6585385799407959,0.4155818819999695,-0.016632767394185066
0.5,0.6666345596313477,-0.7530549764633179,-0.016632767394185066
0.5,0.6747016906738281,-0.7530549764633179,-0.6324741840362549
0.5,0.6828045845031738,-0.7530549764633179,-0.6324741840362549
0.5,0.6908872127532959,0.7795490622520447,-0.2849510610103607
0.5,0.6989829540252686,0.7795490622520447,-0.2849510610103607
0.5,0.7070915699005127,-0.5197329521179199,-0.3749033212661743
0.5,0.7151899337768555,-0.5197329521179199,-0.3749033212661743
0.5,0.7232794761657715,-0.5197329521179199,-0.4070907533168793
0.5,0.7313785552978516,-0.021857023239135742,-0.4070907533168793
0.5,0.7395036220550537,-0.021857023239135742,-0.006996098905801773
0.5,0.7476356029510498,0.23696286976337433,-0.006996098905801773
0.5,0.7557628154754639,0.23696286976337433,-0.7076467871665955
0.5,0.7638735771179199,-0.7039356231689453,-0.7076467871665955
0.5,0.7719812393188477,-0.7039356231689453,0.46184954047203064
0.5,0.7800862789154053,-0.7039356231689453,0.46184954047203064
0.5,0.7881886959075928,0.8305402994155884,-1.1396043300628662
0.5,0.7963321208953857,0.8305402994155884,-1.1396043300628662
0.5,0.8044424057006836,-1.0,0.9865736365318298
0.5,0.8125479221343994,-1.0,0.9865736365318298
0.5,0.8207082748413086,-1.0,-1.1719809770584106
