t,ax,ay,az,gx,gy,gz,mx,my,mz,temp
1.40395,-0.14095,0.33495,-9.80315,-0.03802,-0.00689,0.03447,-10.23006,-34.93466,35.39196,28.69141
1.41742,-0.10411,0.33291,-9.75701,0.02299,-0.00689,0.03447,-9.48982,-35.28329,34.98669,28.64648
1.44140,-0.09804,0.34561,-9.79146,-0.03805,0.05411,0.03447,-10.96053,-34.92368,35.00179,28.68359
1.45748,-0.11833,0.34684,-9.78903,-0.03805,0.11515,-0.02645,-10.60594,-34.24065,35.79334,28.66992
1.48152,-0.09504,0.34745,-9.79623,0.02299,0.11515,-0.08745,-10.23240,-34.58635,35.39197,28.67969
1.49804,-0.12248,0.34566,-9.78723,-0.03802,0.05415,-0.02645,-10.96385,-34.22527,34.97962,28.64062
1.52157,-0.12487,0.32896,-9.79487,0.02299,0.05415,0.03456,-10.24608,-33.90032,36.18763,28.69922
1.53737,-0.11121,0.35696,-9.78252,-0.03802,0.05415,0.03456,-11.32322,-35.26946,35.01184,28.64062
1.56143,-0.11779,0.35165,-9.79252,-0.03802,0.05415,0.03456,-10.96190,-34.57463,34.99702,28.72852
1.57745,-0.10701,0.34688,-9.79329,-0.03802,0.05415,0.03456,-9.86619,-33.88420,34.96348,28.68555
1.60175,-0.11062,0.35512,-9.77488,0.02299,0.05415,0.03456,-10.60252,-34.58831,35.78819,28.68359
1.61737,-0.10227,0.35275,-9.77670,0.02299,-0.00686,-0.02645,-9.48924,-35.28362,34.99278,28.66602
1.64158,-0.12001,0.33378,-9.80902,-0.03802,0.05415,0.03456,-10.59959,-34.58342,35.39634,28.66797
1.65739,-0.11710,0.35565,-9.77792,-0.09905,0.11518,-0.02645,-10.60429,-34.94378,36.20250,28.68164
1.68157,-0.11169,0.34396,-9.80795,-0.03805,0.05418,0.09556,-10.58878,-34.92060,34.59507,28.69922
1.69741,-0.10403,0.33199,-9.79078,-0.03805,0.05418,0.03456,-10.96989,-34.58612,35.79722,28.69141
1.72181,-0.11996,0.36167,-9.76490,-0.03805,-0.00686,-0.02645,-9.86149,-34.58270,34.97935,28.69141
1.74567,-0.10331,0.34914,-9.78727,0.02299,0.05418,0.03456,-9.86027,-34.22796,34.57066,28.67188
1.76142,-0.10048,0.35389,-9.79034,0.02299,0.05418,-0.02645,-10.95793,-35.62738,35.41050,28.68750
1.77738,-0.11669,0.33718,-9.76464,0.02299,-0.00683,0.03456,-11.33244,-34.22308,34.99449,28.72266
1.80159,-0.10693,0.33023,-9.78175,-0.09890,0.05424,0.03456,-10.22697,-34.92962,34.99988,28.67969
1.81767,-0.09519,0.33799,-9.78804,-0.16003,0.05424,0.03456,-10.22925,-34.58026,34.98875,28.63477
1.84130,-0.10341,0.34065,-9.78696,-0.03820,0.05363,-0.02645,-9.84937,-35.26922,34.19529,28.65234
1.86555,-0.10834,0.33146,-9.78884,0.02302,-0.00658,-0.02635,-11.32886,-34.21746,34.59690,28.64648
1.88165,-0.12719,0.33035,-9.78787,0.02302,-0.00673,-0.02635,-10.95874,-34.56878,34.59313,28.64453
1.90570,-0.10616,0.33885,-9.79510,-0.03799,0.05424,0.03462,-10.58911,-34.92059,34.59490,28.66406
1.92153,-0.11063,0.33096,-9.77139,-0.03808,0.05414,-0.02638,-10.22803,-35.28460,35.40887,28.64453
1.94589,-0.10927,0.33399,-9.80472,-0.03794,0.05429,0.09563,-10.21880,-34.91790,34.19402,28.65820
1.96146,-0.11766,0.34298,-9.77023,-0.03794,0.05429,-0.02632,-10.60454,-34.58978,35.80535,28.68359
1.98546,-0.11626,0.33034,-9.80076,0.02288,-0.00653,-0.02596,-10.61428,-35.66204,37.45867,28.65820
2.00142,-0.12047,0.34105,-9.78479,-0.03708,0.11444,0.03382,-10.95266,-34.91253,34.20086,28.66211
2.02533,-0.09511,0.33825,-9.77248,-0.09885,-0.00665,-0.02645,-10.23733,-34.59246,35.79559,28.70508
2.04129,-0.11053,0.34410,-9.80315,-0.03794,-0.00592,0.03425,-10.21502,-34.91229,33.79168,28.69141
2.06554,-0.10999,0.33376,-9.78118,-0.03805,-0.00692,0.03459,-11.32960,-34.57270,35.00528,28.66602
2.08145,-0.10267,0.32923,-9.78026,0.02299,0.05326,-0.02727,-9.85987,-34.93280,34.99578,28.66211
2.10559,-0.11228,0.33568,-9.78879,-0.03801,0.05238,0.03459,-10.60059,-34.93819,35.79852,28.68359
2.12204,-0.11147,0.33243,-9.76781,-0.03450,-0.00340,-0.02642,-10.20875,-35.96358,34.19305,28.63477
2.14548,-0.11822,0.34464,-9.78124,-0.03801,0.11342,-0.02469,-10.59644,-34.93233,35.39520,28.68164
2.16147,-0.11969,0.34872,-9.78667,0.02299,0.05412,-0.02642,-11.33765,-34.58419,35.80608,28.65820
2.18540,-0.10881,0.31791,-9.79769,-0.03801,-0.00337,-0.08040,-10.60084,-34.58468,35.40667,28.67383
2.20141,-0.11563,0.33356,-9.79912,0.02299,0.05061,-0.03347,-9.86597,-34.58946,35.38784,28.67578
2.22527,-0.11457,0.35404,-9.77276,-0.03801,0.05413,0.03459,-10.21339,-34.55760,33.38198,28.69922
2.24134,-0.09824,0.34736,-9.77532,-0.03629,-0.00516,0.03459,-10.95753,-35.62693,35.41128,28.66406
2.26557,-0.10709,0.33954,-9.79152,-0.05266,0.00776,0.03459,-11.31739,-34.90818,34.18862,28.68164
2.28137,-0.10618,0.32493,-9.79455,-0.02337,0.00776,0.03459,-10.96705,-34.93496,35.80288,28.67969
2.30542,-0.11065,0.34742,-9.79775,-0.03802,0.10047,0.09559,-9.48463,-35.27725,34.58413,28.68359
2.32702,-0.11174,0.32708,-9.78837,-0.03802,0.05412,0.03459,-10.22779,-35.28471,35.41518,28.65625
2.34547,-0.10141,0.33342,-9.78017,-0.00689,0.05412,-0.02523,-10.59302,-34.92680,35.00454,28.69531
2.36186,-0.10828,0.34976,-9.79026,-0.00811,0.02422,0.00344,-9.86353,-33.87992,34.57705,28.67383
2.38565,-0.11658,0.33660,-9.77418,-0.03800,0.05412,0.09555,-10.23292,-34.58695,35.39834,28.68359
2.40146,-0.09560,0.32649,-9.79731,0.02300,-0.00689,0.03454,-10.96387,-34.93021,35.41139,28.67773
2.43019,-0.09089,0.34379,-9.78556,-0.15998,0.11512,-0.02649,-11.33472,-34.93332,35.81837,28.66797
2.44984,-0.10135,0.32282,-9.78840,-0.03797,-0.00689,0.00463,-10.58619,-35.26999,34.60646,28.72852
2.46577,-0.10160,0.32224,-9.78721,-0.03797,-0.00689,-0.02648,-9.47877,-35.62107,34.19191,28.64062
2.49010,-0.10578,0.32883,-9.78603,0.02303,-0.06789,-0.02648,-11.32838,-35.27585,35.41457,28.64648
2.50546,-0.10578,0.33544,-9.78724,0.08407,0.05412,-0.08748,-10.24537,-34.60349,36.59621,28.66211
2.53176,-0.11897,0.34440,-9.77837,-0.03794,-0.00689,-0.02645,-11.33814,-34.58333,35.80128,28.67773
2.54532,-0.11054,0.33726,-9.79317,0.02307,0.05412,-0.02645,-10.59156,-35.27523,35.00392,28.67773
2.56950,-0.10756,0.34748,-9.80389,-0.03794,-0.00689,-0.02645,-9.86011,-34.57747,34.58766,28.69531
2.58564,-0.10818,0.32522,-9.78306,-0.03794,0.05412,0.03456,-10.96461,-35.63411,35.83083,28.65039
2.60947,-0.10873,0.33311,-9.80264,-0.03794,-0.00689,0.03456,-9.86890,-34.94417,35.80278,28.65430
2.62564,-0.11350,0.34928,-9.80507,0.02310,0.05412,0.03456,-10.96558,-34.57601,35.01323,28.71680
2.64969,-0.12183,0.33437,-9.80541,-0.03791,-0.00689,0.03456,-10.60963,-34.59568,36.20757,28.70312
2.66579,-0.09991,0.32281,-9.77484,0.02299,0.05411,-0.02645,-10.59723,-33.87432,34.58328,28.64453
2.68947,-0.10697,0.34080,-9.78671,-0.03802,-0.00689,-0.08748,-10.59462,-34.57745,34.98636,28.65625
2.70581,-0.11415,0.33372,-9.79073,0.02299,-0.00689,0.09550,-10.95839,-34.56958,34.59793,28.64453
2.73001,-0.09924,0.33181,-9.79021,0.02299,-0.00689,-0.02651,-10.21864,-35.27270,34.59593,28.69727
2.75383,-0.13443,0.34687,-9.79312,0.02299,0.11512,0.03450,-10.58949,-35.27581,35.00291,28.65820
2.76949,-0.11183,0.34556,-9.77303,-0.09902,0.05411,-0.02651,-9.87074,-33.89202,35.37645,28.65234
2.78547,-0.10463,0.34683,-9.77968,0.02299,-0.00689,0.03450,-9.85958,-35.28753,35.39857,28.68164
2.80950,-0.10105,0.34624,-9.79203,-0.09902,0.11512,0.03450,-9.50753,-34.95916,36.59877,28.61523
2.82556,-0.11539,0.34493,-9.76897,0.02299,0.05411,-0.08751,-9.86275,-34.93909,35.39857,28.61133
2.84945,-0.11940,0.33684,-9.80709,-0.03799,0.05411,0.03450,-10.23116,-34.23255,34.98793,28.64453
2.86542,-0.10280,0.32770,-9.79906,-0.03799,0.05411,-0.02648,-10.23116,-34.23255,34.98793,28.65234
2.88953,-0.12237,0.32349,-9.78881,0.02302,0.05411,0.03453,-10.95723,-34.56922,34.58656,28.68359
2.90538,-0.10359,0.35201,-9.77024,-0.03799,0.05411,0.03453,-10.61617,-34.96253,37.41664,28.69336
2.92968,-0.11651,0.32610,-9.77874,0.02302,-0.00686,-0.02645,-10.58812,-34.92124,34.59438,28.66992
2.94553,-0.11086,0.33743,-9.78940,-0.09899,-0.00686,0.03431,-9.49535,-34.94100,35.38393,28.68555
2.96958,-0.09922,0.32219,-9.78484,0.02302,-0.00676,0.03451,-10.59887,-34.58382,35.38967,28.65039
2.99342,-0.12171,0.34925,-9.77825,-0.03811,0.11507,-0.02640,-10.59887,-34.58382,35.38967,28.63672
3.00939,-0.09367,0.33413,-9.79349,0.02302,-0.00688,-0.02650,-10.96703,-34.93587,35.80202,28.62891
3.03366,-0.10280,0.32726,-9.78177,-0.03799,0.05412,-0.02650,-10.24340,-34.24984,36.19240,28.66797
3.04955,-0.10327,0.33669,-9.77998,0.02283,0.05402,0.03441,-10.59252,-34.92709,34.99807,28.68555
3.07342,-0.11473,0.34195,-9.80961,0.02308,-0.12884,-0.02647,-10.95751,-34.56918,34.58742,28.68750
3.08949,-0.11539,0.32885,-9.77766,-0.03795,0.05402,0.03451,-10.94618,-35.61019,34.21193,28.69727
3.11355,-0.10166,0.32956,-9.76317,0.02281,-0.00674,-0.02650,-9.86317,-35.29208,35.79103,28.65430
3.12933,-0.09088,0.32970,-9.76178,-0.15920,0.05323,0.03283,-10.59315,-34.22274,34.57228,28.72656
3.15348,-0.09451,0.32978,-9.76626,-0.09902,0.05407,0.03462,-10.95326,-34.56283,34.17849,28.67773
3.16941,-0.12211,0.32346,-9.78327,0.08274,-0.00693,0.03493,-11.31752,-35.96810,35.01638,28.65820
