t,u,omega_radps
3.814697265625e-06,1.0,-4.328782558441162
0.010127067565917969,1.0,11.805011749267578
0.020320892333984375,-1.0,-0.43946218490600586
0.030501127243041992,1.0,-0.43946218490600586
0.040635108947753906,1.0,-11.142168998718262
0.050724029541015625,1.0,7.907372951507568
0.06081724166870117,1.0,7.907372951507568
0.07092642784118652,-1.0,8.541817665100098
0.08102774620056152,-1.0,8.541817665100098
0.0911400318145752,1.0,-13.492084503173828
0.10128903388977051,1.0,-4.305531978607178
0.11138701438903809,-0.4859022796154022,-4.305531978607178
0.12148785591125488,-0.4859022796154022,13.805554389953613
0.131547212600708,-1.0,-4.5714311599731445
0.14164090156555176,-1.0,-4.5714311599731445
0.1517467498779297,1.0,-11.698508262634277
0.16187453269958496,1.0,-11.698508262634277
0.172027587890625,-1.0,12.202167510986328
0.18215131759643555,-1.0,5.325035095214844
0.19226527214050293,-0.08310216665267944,5.325035095214844
0.20239019393920898,-0.08310216665267944,-13.94837474822998
0.21256351470947266,1.0,5.7704997062683105
0.22269392013549805,1.0,5.7704997062683105
0.2328333854675293,-1.0,9.132505416870117
0.2429797649383545,-1.0,-13.305556297302246
0.2531168460845947,1.0,-13.305556297302246
0.26326441764831543,1.0,3.034644365310669
0.273406982421875,-1.0,3.034644365310669
0.2835564613342285,-1.0,10.140092849731445
0.2936580181121826,0.19172482192516327,-14.515477180480957
0.3040745258331299,0.19172482192516327,-14.515477180480957
0.31422853469848633,1.0,2.325651168823242
0.3243575096130371,1.0,14.002243995666504
0.3344888687133789,-1.0,14.002243995666504
0.3445601463317871,-1.0,-15.595926284790039
0.3546888828277588,1.0,-15.595926284790039
0.36481451988220215,1.0,-1.56392502784729
0.3749396800994873,-1.0,19.608591079711914
0.3851025104522705,-1.0,19.608591079711914
0.3952186107635498,-0.3335009217262268,-13.706557273864746
0.4053211212158203,-0.3335009217262268,-8.399600982666016
0.4154222011566162,1.0,-8.399600982666016
0.4255499839782715,1.0,23.396427154541016
0.4356694221496582,-1.0,-9.361543655395508
0.4457857608795166,-1.0,-9.361543655395508
0.45589256286621094,1.0,-15.57494831085205
0.46611499786376953,1.0,-15.57494831085205
0.47631263732910156,-1.0,22.994585037231445
0.486469030380249,-1.0,-5.672091007232666
0.4965476989746094,1.0,-5.672091007232666
0.5066530704498291,1.0,-19.80438804626465
0.5167815685272217,1.0,24.18273162841797
0.5269310474395752,1.0,24.18273162841797
0.5370674133300781,-1.0,-1.2050894498825073
0.5472085475921631,-1.0,-21.70216178894043
0.557340145111084,1.0,-21.70216178894043
0.5674660205841064,1.0,22.87289047241211
0.5776243209838867,-1.0,22.87289047241211
0.5877513885498047,-1.0,-3.7295048236846924
0.5978834629058838,1.0,-20.93401527404785
0.6079995632171631,1.0,-20.93401527404785
0.618088960647583,-1.0,26.966535568237305
0.6281929016113281,-1.0,-7.313896656036377
0.6383116245269775,-1.0,-7.313896656036377
0.6484217643737793,-1.0,-21.314266204833984
0.6587305068969727,1.0,-21.314266204833984
0.668891191482544,1.0,28.54385757446289
0.6790156364440918,-1.0,-14.571640968322754
0.6891531944274902,-1.0,-14.571640968322754
0.6992843151092529,1.0,-15.466412544250488
0.7094564437866211,1.0,32.19655990600586
0.7195549011230469,-1.0,32.19655990600586
0.7297165393829346,-1.0,-24.35066032409668
0.7398457527160645,1.0,-24.35066032409668
0.7499532699584961,1.0,-6.601334571838379
0.7600574493408203,-1.0,30.47939109802246
0.7701504230499268,-1.0,30.47939109802246
0.78025221824646,0.6473959684371948,-30.879793167114258
0.790391206741333,0.6473959684371948,12.024351119995117
0.8005940914154053,1.0,12.024351119995117
0.8106989860534668,1.0,18.682756423950195
0.8208065032958984,-1.0,-38.256141662597656
0.8309187889099121,-1.0,-38.256141662597656
0.8410382270812988,1.0,28.187061309814453
0.8511371612548828,1.0,28.187061309814453
0.8612411022186279,-1.0,-0.3319365978240967
0.8713517189025879,-1.0,-27.304773330688477
0.881460428237915,1.0,-27.304773330688477
0.8915588855743408,1.0,38.64568328857422
0.9017438888549805,-1.0,-27.621421813964844
0.911909818649292,-1.0,-27.621421813964844
0.9220497608184814,1.0,-0.8045070171356201
0.9321911334991455,1.0,26.495534896850586
0.9425168037414551,-1.0,26.495534896850586
0.9527156352996826,-1.0,-39.35472869873047
0.9628429412841797,1.0,-39.35472869873047
0.9729526042938232,1.0,31.668903350830078
0.9831106662750244,-1.0,-9.901487350463867
0.9933111667633057,-1.0,-9.901487350463867
1.003431797027588,1.0,-17.1656494140625
1.0135715007781982,1.0,36.99018859863281
1.023698091506958,-1.0,36.99018859863281
1.0338218212127686,-1.0,-41.83680725097656
1.043929100036621,1.0,-41.83680725097656
1.0540385246276855,1.0,28.961467742919922
1.0641677379608154,-1.0,-3.767035484313965
1.074291706085205,-1.0,-3.767035484313965
1.084399700164795,1.0,-22.81148910522461
1.0945005416870117,1.0,41.160682678222656
1.1047239303588867,-1.0,41.160682678222656
1.114927053451538,-1.0,-46.3040885925293
1.125068187713623,1.0,33.57850646972656
1.1351866722106934,1.0,33.57850646972656
1.145326852798462,-1.0,-11.990119934082031
1.1554820537567139,1.0,-11.990119934082031
1.165572166442871,1.0,-13.544412612915039
1.1757090091705322,1.0,34.47370910644531
1.1858243942260742,-1.0,34.47370910644531
1.195976734161377,1.0,-44.57814025878906
1.2061846256256104,1.0,-44.57814025878906
1.2163043022155762,1.0,46.34731674194336
1.2264041900634766,-1.0,-34.581295013427734
1.2365076541900635,1.0,-34.581295013427734
1.246636152267456,1.0,18.354230880737305
1.2567338943481445,1.0,2.9880456924438477
1.2668476104736328,-1.0,2.9880456924438477
1.276972770690918,-1.0,-22.682708740234375
1.2870845794677734,1.0,36.47821044921875
1.2973990440368652,-1.0,36.47821044921875
1.307572603225708,-1.0,-48.15484619140625
1.3177094459533691,1.0,47.752349853515625
1.3278074264526367,1.0,47.752349853515625
1.33790922164917,1.0,-45.04702377319336
1.348029375076294,1.0,-45.04702377319336
1.3581624031066895,-1.0,34.06245803833008
1.368269443511963,-1.0,-18.97826385498047
1.3783714771270752,1.0,-18.97826385498047
1.3884632587432861,1.0,1.556718111038208
1.3985652923583984,-1.0,16.973779678344727
1.4086811542510986,-1.0,16.973779678344727
1.4187865257263184,1.0,-30.061796188354492
