t,u,omega_radps
4.76837158203125e-06,-1.0,-17.88510513305664
0.01012420654296875,1.0,-0.5636026859283447
0.02023911476135254,1.0,-0.5636026859283447
0.030364036560058594,-1.0,18.08484649658203
0.04053068161010742,-1.0,-12.632962226867676
0.050670623779296875,-0.32726365327835083,-12.632962226867676
0.06076860427856445,-0.32726365327835083,-7.132394790649414
0.07096552848815918,1.0,-7.132394790649414
0.0810549259185791,1.0,20.74362564086914
0.09118151664733887,-1.0,-6.927535057067871
0.10129499435424805,-1.0,-6.927535057067871
0.11140584945678711,1.0,-16.90276336669922
0.12152385711669922,1.0,18.252960205078125
0.13163471221923828,-1.0,18.252960205078125
0.14191651344299316,-1.0,1.9963773488998413
0.15204358100891113,-1.0,-21.04264259338379
0.1621551513671875,-1.0,-21.04264259338379
0.1722733974456787,1.0,14.781658172607422
0.1823899745941162,-1.0,14.781658172607422
0.19249892234802246,-1.0,9.46468448638916
0.20261621475219727,-1.0,-25.34492301940918
0.21271586418151855,1.0,-25.34492301940918
0.2228090763092041,-1.0,7.635476589202881
0.2329089641571045,-1.0,18.144540786743164
0.24303174018859863,-1.0,18.144540786743164
0.2531588077545166,-1.0,-24.055681228637695
0.26329946517944336,1.0,-24.055681228637695
0.27343058586120605,1.0,-2.359675645828247
0.2835516929626465,-1.0,26.305889129638672
0.2936692237854004,-1.0,26.305889129638672
0.3037989139556885,1.0,-18.43302345275879
0.31392812728881836,1.0,-12.173447608947754
0.3240387439727783,1.0,-12.173447608947754
0.3341348171234131,1.0,25.342273712158203
0.34424757957458496,-1.0,-14.534717559814453
0.35434913635253906,-1.0,-14.534717559814453
0.3644530773162842,1.0,-15.488204002380371
0.3745603561401367,1.0,-15.488204002380371
0.3847174644470215,-1.0,29.387371063232422
0.39490795135498047,-1.0,-11.569327354431152
0.4050633907318115,1.0,-11.569327354431152
0.4151935577392578,1.0,-18.389347076416016
0.42531299591064453,-1.0,30.131641387939453
0.4354288578033447,-1.0,30.131641387939453
0.44556355476379395,-1.0,-12.032858848571777
0.4557037353515625,-1.0,-12.032858848571777
0.465867280960083,1.0,-18.591468811035156
0.4760010242462158,1.0,30.766550064086914
0.486130952835083,-1.0,30.766550064086914
0.49625158309936523,-1.0,-15.260601997375488
0.5063669681549072,1.0,-13.756691932678223
0.5165286064147949,1.0,-13.756691932678223
0.526644229888916,-1.0,34.886390686035156
0.5367913246154785,-1.0,-24.183834075927734
0.546961784362793,1.0,-24.183834075927734
