t,u,omega_radps,thro,m0_omega
2.384185791015625e-06,0.6231487989425659,0.7366015911102295,0.5,258.7260437011719
0.01060175895690918,-0.8351482152938843,-0.6668959259986877,0.5,307.5420837402344
0.020874738693237305,-0.8351482152938843,-0.6668959259986877,0.5,307.5420837402344
0.031000852584838867,0.026473790407180786,0.521101713180542,0.5,270.7406921386719
0.04112362861633301,0.026473790407180786,0.521101713180542,0.5,270.7406921386719
0.05126023292541504,0.33985260128974915,-0.4939722716808319,0.5,295.6246032714844
0.0613861083984375,0.33985260128974915,0.5059746503829956,0.5,272.88372802734375
0.07152652740478516,-0.6201280951499939,0.5059746503829956,0.5,272.88372802734375
0.08165097236633301,-0.6201280951499939,-0.5439653396606445,0.5,276.3310852050781
0.09176349639892578,-0.20599794387817383,0.40401387214660645,0.5,265.9837341308594
0.10188007354736328,-0.20599794387817383,0.40401387214660645,0.5,265.9837341308594
0.11199164390563965,0.5801958441734314,-0.2164796143770218,0.5,286.19244384765625
0.12213897705078125,0.5801958441734314,-0.2164796143770218,0.5,286.19244384765625
0.1322629451751709,-0.2863210439682007,0.32198795676231384,0.5,305.52734375
0.14239788055419922,-0.2863210439682007,-0.44222554564476013,0.5,317.5806579589844
0.15251660346984863,-0.04388006031513214,-0.44222554564476013,0.5,317.5806579589844
0.16266918182373047,-0.04388006031513214,0.36871108412742615,0.5,306.91790771484375
0.17282438278198242,0.627358078956604,-0.4974442720413208,0.5,328.7580261230469
0.1829841136932373,0.627358078956604,-0.4974442720413208,0.5,328.7580261230469
0.19309663772583008,-0.692360520362854,0.3202469050884247,0.5,297.5182800292969
0.20326018333435059,-0.692360520362854,0.3202469050884247,0.5,297.5182800292969
0.2134411334991455,0.5150887370109558,-0.4127229154109955,0.5,318.3266906738281
0.22359776496887207,0.5150887370109558,0.8102554678916931,0.5,330.314697265625
0.23372173309326172,-0.22322076559066772,0.8102554678916931,0.5,330.314697265625
0.24383807182312012,-0.22322076559066772,-0.9366553425788879,0.5,345.707763671875
0.25395679473876953,-0.14802604913711548,0.8287288546562195,0.5,281.9145202636719
0.2640705108642578,-0.14802604913711548,0.8287288546562195,0.5,281.9145202636719
0.27420568466186523,0.517156720161438,-0.6485841274261475,0.5,328.26165771484375
0.28438663482666016,0.517156720161438,0.8198575377464294,0.5,294.8570251464844
0.29450559616088867,-0.8238775730133057,0.8198575377464294,0.5,294.8570251464844
0.30463600158691406,-0.8238775730133057,-0.6259816288948059,0.5,320.0893249511719
0.31476736068725586,0.3903464376926422,-0.6259816288948059,0.5,320.0893249511719
0.3249213695526123,0.3903464376926422,0.7454773187637329,0.5,287.32373046875
0.33506178855895996,0.3478865325450897,-0.5891345143318176,0.5,318.6551208496094
