t_s,u,gyro_dps
1.9080,0.0260,-2.10
1.9100,0.0250,-2.20
1.9120,0.0250,-2.20
1.9140,0.0240,-2.10
1.9160,0.0240,-1.90
1.9180,0.0230,-1.90
1.9200,0.0230,-1.80
1.9220,0.0220,-1.80
1.9240,0.0220,-1.90
1.9260,0.0220,-2.30
1.9280,0.0220,-2.50
1.9300,0.0220,-2.70
1.9320,0.0220,-2.80
1.9340,0.0220,-2.80
1.9360,0.0220,-2.60
1.9380,0.0220,-2.50
1.9400,0.0220,-2.40
1.9420,0.0230,-2.40
1.9440,0.0230,-2.40
1.9460,0.0230,-2.40
1.9480,0.0240,-2.40
1.9500,0.0240,-2.40
1.9520,0.0240,-2.40
1.9540,0.0250,-2.30
1.9560,0.0250,-1.80
1.9580,0.0250,-1.50
1.9600,0.0250,-1.30
1.9620,0.0250,-1.20
1.9640,0.0250,-1.20
1.9660,0.0260,-1.60
1.9680,0.0260,-1.90
1.9700,0.0260,-2.10
1.9720,0.0260,-2.20
1.9740,0.0260,-2.20
1.9760,0.0260,-2.10
1.9780,0.0260,-2.00
1.9800,0.0260,-1.90
1.9820,0.0260,-1.90
1.9840,0.0260,-1.80
1.9860,0.0250,-1.60
1.9880,0.0250,-1.50
1.9900,0.0250,-1.40
1.9920,0.0250,-1.30
1.9940,0.0250,-1.20
1.9960,0.0250,-1.30
