t_s,u,gyro_dps
0.4360,0.0040,4.30
0.4380,0.0040,4.50
0.4400,0.0040,4.60
0.4420,0.0040,4.70
0.4440,0.0040,4.80
0.4460,0.0040,4.90
0.4480,0.0040,4.90
0.4500,0.0040,4.90
0.4520,0.0050,4.60
0.4540,0.0050,4.20
0.4560,0.0060,4.00
0.4580,0.0060,3.80
0.4600,0.0060,3.60
0.4620,0.0070,3.10
0.4640,0.0080,2.70
0.4660,0.0080,2.50
0.4680,0.0090,2.30
0.4700,0.0090,2.40
0.4720,0.0090,2.60
0.4740,0.0100,2.80
0.4760,0.0100,2.90
0.4780,0.0110,3.00
0.4800,0.0110,3.00
0.4820,0.0110,3.80
0.4840,0.0110,4.30
0.4860,0.0120,4.70
0.4880,0.0120,5.00
0.4900,0.0130,5.10
0.4920,0.0130,4.80
0.4940,0.0140,4.50
0.4960,0.0150,4.30
0.4980,0.0160,4.10
0.5000,0.0160,4.10
0.5020,0.0170,3.10
0.5040,0.0180,2.40
0.5060,0.0190,1.90
0.5080,0.0200,1.60
0.5100,0.0210,1.40
0.5120,0.0210,1.60
0.5140,0.0220,1.90
0.5160,0.0220,2.10
0.5180,0.0230,2.20
0.5200,0.0230,2.30
0.5220,0.0240,2.50
0.5240,0.0240,2.80
0.5260,0.0250,3.00
0.5280,0.0250,3.10
0.5300,0.0260,3.20
0.5320,0.0260,3.70
0.5340,0.0270,4.20
0.5360,0.0270,4.50
0.5380,0.0270,4.70
0.5400,0.0280,4.80
0.5420,0.0280,4.70
0.5440,0.0290,4.00
0.5460,0.0300,3.60
0.5480,0.0300,3.30
0.5500,0.0310,3.10
0.5520,0.0310,2.60
0.5540,0.0320,1.90
0.5560,0.0330,1.40
0.5580,0.0330,1.10
0.5600,0.0340,0.90
0.5620,0.0340,1.20
0.5640,0.0330,1.90
0.5660,0.0330,2.40
0.5680,0.0330,2.70
0.5700,0.0330,2.90
0.5720,0.0330,3.00
0.5740,0.0330,3.10
0.5760,0.0330,3.10
0.5780,0.0330,3.10
0.5800,0.0330,3.10
0.5820,0.0330,3.00
0.5840,0.0330,2.80
0.5860,0.0330,2.70
0.5880,0.0330,2.70
0.5900,0.0330,2.60
0.5920,0.0320,2.50
0.5940,0.0320,2.30
0.5960,0.0320,2.20
0.5980,0.0320,2.10
0.6000,0.0310,2.10
